22:26:34.018 -> Humidity: 60.90 %, Temp: 18.80 Celsius
22:27:48.398 -> Humidity: 58.70 %, Temp: 19.50 Celsius
22:27:50.404 -> Humidity: 58.60 %, Temp: 19.50 Celsius
22:27:52.418 -> Humidity: 58.40 %, Temp: 19.50 Celsius
22:27:54.423 -> Humidity: 58.30 %, Temp: 19.40 Celsius
22:27:56.453 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:27:58.479 -> Humidity: 58.20 %, Temp: 19.40 Celsius
22:28:00.454 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:02.483 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:04.518 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:06.503 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:08.524 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:10.537 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:12.516 -> Humidity: 58.10 %, Temp: 19.40 Celsius
22:28:14.559 -> Humidity: 58.00 %, Temp: 19.30 Celsius
22:28:16.554 -> Humidity: 58.00 %, Temp: 19.30 Celsius
22:28:18.576 -> Humidity: 57.90 %, Temp: 19.30 Celsius
22:28:20.585 -> Humidity: 57.90 %, Temp: 19.40 Celsius
22:28:22.575 -> Humidity: 57.70 %, Temp: 19.30 Celsius
22:28:24.588 -> Humidity: 57.60 %, Temp: 19.30 Celsius
22:28:26.589 -> Humidity: 57.60 %, Temp: 19.30 Celsius
22:28:28.618 -> Humidity: 57.60 %, Temp: 19.30 Celsius
22:28:30.623 -> Humidity: 57.60 %, Temp: 19.30 Celsius
22:28:32.645 -> Humidity: 57.60 %, Temp: 19.30 Celsius
22:28:34.655 -> Humidity: 57.50 %, Temp: 19.30 Celsius
22:28:36.643 -> Humidity: 57.50 %, Temp: 19.30 Celsius
22:28:38.691 -> Humidity: 57.40 %, Temp: 19.20 Celsius
22:28:40.685 -> Humidity: 57.50 %, Temp: 19.20 Celsius
22:28:42.682 -> Humidity: 57.50 %, Temp: 19.20 Celsius
22:28:44.729 -> Humidity: 57.40 %, Temp: 19.20 Celsius
22:28:46.730 -> Humidity: 57.50 %, Temp: 19.20 Celsius
22:28:48.710 -> Humidity: 57.50 %, Temp: 19.20 Celsius
22:28:50.713 -> Humidity: 57.40 %, Temp: 19.20 Celsius
22:28:52.730 -> Humidity: 57.40 %, Temp: 19.20 Celsius
22:28:54.743 -> Humidity: 57.40 %, Temp: 19.20 Celsius
22:28:56.746 -> Humidity: 57.50 %, Temp: 19.20 Celsius
22:28:58.762 -> Humidity: 57.50 %, Temp: 19.20 Celsius
22:29:00.810 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:02.811 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:04.794 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:06.845 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:08.828 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:10.828 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:12.875 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:14.843 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:16.866 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:18.892 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:20.893 -> Humidity: 57.50 %, Temp: 19.10 Celsius
22:29:22.911 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:24.901 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:26.916 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:28.963 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:30.955 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:32.973 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:34.959 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:37.001 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:38.974 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:40.981 -> Humidity: 57.40 %, Temp: 19.00 Celsius
22:29:43.017 -> Humidity: 57.50 %, Temp: 19.00 Celsius
22:29:45.026 -> Humidity: 57.50 %, Temp: 19.00 Celsius
22:29:47.015 -> Humidity: 57.50 %, Temp: 19.00 Celsius
22:29:49.054 -> Humidity: 57.50 %, Temp: 18.90 Celsius
22:29:51.049 -> Humidity: 57.60 %, Temp: 18.90 Celsius
22:29:53.070 -> Humidity: 57.60 %, Temp: 18.90 Celsius
22:29:55.097 -> Humidity: 57.60 %, Temp: 18.90 Celsius
22:29:57.108 -> Humidity: 57.60 %, Temp: 18.90 Celsius
22:29:59.096 -> Humidity: 57.70 %, Temp: 18.90 Celsius
22:30:01.117 -> Humidity: 57.70 %, Temp: 18.90 Celsius
22:30:03.103 -> Humidity: 57.70 %, Temp: 18.90 Celsius
22:30:05.144 -> Humidity: 57.70 %, Temp: 18.90 Celsius
22:30:07.119 -> Humidity: 57.70 %, Temp: 18.90 Celsius
22:30:09.135 -> Humidity: 57.80 %, Temp: 18.90 Celsius
22:30:11.162 -> Humidity: 57.80 %, Temp: 18.90 Celsius
22:30:13.182 -> Humidity: 57.80 %, Temp: 18.80 Celsius
22:30:15.168 -> Humidity: 57.80 %, Temp: 18.80 Celsius
22:30:17.189 -> Humidity: 57.90 %, Temp: 18.90 Celsius
22:30:19.211 -> Humidity: 57.90 %, Temp: 18.80 Celsius
22:30:21.198 -> Humidity: 57.90 %, Temp: 18.80 Celsius
22:30:23.228 -> Humidity: 57.90 %, Temp: 18.80 Celsius
22:30:25.216 -> Humidity: 57.90 %, Temp: 18.80 Celsius
22:30:27.237 -> Humidity: 57.90 %, Temp: 18.80 Celsius
22:30:29.237 -> Humidity: 58.00 %, Temp: 18.80 Celsius
22:30:31.282 -> Humidity: 58.00 %, Temp: 18.80 Celsius
22:30:33.267 -> Humidity: 58.00 %, Temp: 18.80 Celsius
22:30:35.266 -> Humidity: 58.00 %, Temp: 18.80 Celsius
22:30:37.282 -> Humidity: 58.10 %, Temp: 18.80 Celsius
22:30:39.311 -> Humidity: 58.10 %, Temp: 18.80 Celsius
22:30:41.297 -> Humidity: 58.10 %, Temp: 18.80 Celsius
22:30:43.320 -> Humidity: 58.10 %, Temp: 18.80 Celsius
22:30:45.358 -> Humidity: 58.10 %, Temp: 18.80 Celsius
22:30:47.347 -> Humidity: 58.10 %, Temp: 18.70 Celsius
22:30:49.347 -> Humidity: 58.20 %, Temp: 18.80 Celsius
22:30:51.354 -> Humidity: 58.20 %, Temp: 18.80 Celsius
22:30:53.381 -> Humidity: 58.10 %, Temp: 18.70 Celsius
22:30:55.366 -> Humidity: 58.10 %, Temp: 18.70 Celsius
22:30:57.401 -> Humidity: 58.10 %, Temp: 18.70 Celsius
22:30:59.428 -> Humidity: 58.10 %, Temp: 18.70 Celsius
22:31:01.402 -> Humidity: 58.10 %, Temp: 18.70 Celsius
22:31:03.430 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:05.437 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:07.445 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:09.470 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:11.467 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:13.494 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:15.489 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:17.512 -> Humidity: 58.20 %, Temp: 18.70 Celsius
22:31:19.523 -> Humidity: 58.30 %, Temp: 18.70 Celsius
22:31:21.507 -> Humidity: 58.20 %, Temp: 18.60 Celsius
22:31:23.545 -> Humidity: 58.30 %, Temp: 18.70 Celsius
22:31:25.545 -> Humidity: 58.30 %, Temp: 18.70 Celsius
22:31:27.558 -> Humidity: 58.20 %, Temp: 18.60 Celsius
22:31:29.548 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:31.558 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:33.576 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:35.593 -> Humidity: 58.40 %, Temp: 18.70 Celsius
22:31:37.592 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:39.609 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:41.643 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:43.639 -> Humidity: 58.30 %, Temp: 18.60 Celsius
22:31:45.658 -> Humidity: 58.40 %, Temp: 18.60 Celsius
22:31:47.657 -> Humidity: 58.40 %, Temp: 18.60 Celsius
22:31:49.691 -> Humidity: 58.40 %, Temp: 18.60 Celsius
22:31:51.656 -> Humidity: 58.40 %, Temp: 18.60 Celsius
22:31:53.704 -> Humidity: 58.40 %, Temp: 18.60 Celsius
22:31:55.691 -> Humidity: 58.50 %, Temp: 18.60 Celsius
22:31:57.706 -> Humidity: 58.50 %, Temp: 18.60 Celsius
22:31:59.709 -> Humidity: 58.40 %, Temp: 18.50 Celsius
22:32:01.750 -> Humidity: 58.40 %, Temp: 18.50 Celsius
22:32:03.733 -> Humidity: 58.50 %, Temp: 18.60 Celsius
22:32:05.738 -> Humidity: 58.50 %, Temp: 18.60 Celsius
22:32:07.758 -> Humidity: 58.50 %, Temp: 18.60 Celsius
22:32:09.755 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:11.788 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:13.785 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:15.785 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:17.821 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:19.819 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:21.837 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:23.867 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:25.873 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:27.853 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:29.886 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:31.868 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:33.916 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:35.902 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:37.932 -> Humidity: 58.50 %, Temp: 18.50 Celsius
22:32:39.909 -> Humidity: 58.60 %, Temp: 18.50 Celsius
22:32:41.931 -> Humidity: 58.60 %, Temp: 18.50 Celsius
22:32:43.949 -> Humidity: 58.60 %, Temp: 18.50 Celsius
22:32:45.983 -> Humidity: 58.60 %, Temp: 18.50 Celsius
22:32:47.991 -> Humidity: 58.60 %, Temp: 18.50 Celsius
22:32:49.975 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:32:52.014 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:32:53.994 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:32:56.031 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:32:58.034 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:33:00.015 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:33:02.032 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:33:04.065 -> Humidity: 58.60 %, Temp: 18.40 Celsius
22:33:06.078 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:08.090 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:10.114 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:12.116 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:14.138 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:16.128 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:18.113 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:20.160 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:22.146 -> Humidity: 58.70 %, Temp: 18.40 Celsius
22:33:24.182 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:26.206 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:28.164 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:30.194 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:32.187 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:34.228 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:36.227 -> Humidity: 58.80 %, Temp: 18.40 Celsius
22:33:38.244 -> Humidity: 58.70 %, Temp: 18.30 Celsius
22:33:40.249 -> Humidity: 58.70 %, Temp: 18.30 Celsius
22:33:42.241 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:44.251 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:46.292 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:48.293 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:50.291 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:52.316 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:54.308 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:56.307 -> Humidity: 58.80 %, Temp: 18.30 Celsius
22:33:58.332 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:00.370 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:02.370 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:04.348 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:06.387 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:08.404 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:10.389 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:12.405 -> Humidity: 58.90 %, Temp: 18.30 Celsius
22:34:14.402 -> Humidity: 59.00 %, Temp: 18.30 Celsius
22:34:16.431 -> Humidity: 59.00 %, Temp: 18.30 Celsius
22:34:18.433 -> Humidity: 58.90 %, Temp: 18.20 Celsius
22:34:20.437 -> Humidity: 59.00 %, Temp: 18.30 Celsius
22:34:22.487 -> Humidity: 59.00 %, Temp: 18.30 Celsius
22:34:24.487 -> Humidity: 59.00 %, Temp: 18.30 Celsius
22:34:26.486 -> Humidity: 58.90 %, Temp: 18.20 Celsius
22:34:28.503 -> Humidity: 59.00 %, Temp: 18.30 Celsius
22:34:30.520 -> Humidity: 59.00 %, Temp: 18.20 Celsius
22:34:32.494 -> Humidity: 59.00 %, Temp: 18.20 Celsius
22:34:34.504 -> Humidity: 59.00 %, Temp: 18.20 Celsius
22:34:36.519 -> Humidity: 59.00 %, Temp: 18.20 Celsius
22:34:38.568 -> Humidity: 59.00 %, Temp: 18.20 Celsius
22:34:40.554 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:42.566 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:44.584 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:46.598 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:48.595 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:50.602 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:52.623 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:54.617 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:56.631 -> Humidity: 59.10 %, Temp: 18.20 Celsius
22:34:58.641 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:00.649 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:02.671 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:04.692 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:06.694 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:08.713 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:10.721 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:12.727 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:14.729 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:16.767 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:18.751 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:20.773 -> Humidity: 59.20 %, Temp: 18.20 Celsius
22:35:22.780 -> Humidity: 59.30 %, Temp: 18.20 Celsius
22:35:24.796 -> Humidity: 59.30 %, Temp: 18.20 Celsius
22:35:26.795 -> Humidity: 59.20 %, Temp: 18.10 Celsius
22:35:28.796 -> Humidity: 59.20 %, Temp: 18.10 Celsius
22:35:30.812 -> Humidity: 59.30 %, Temp: 18.20 Celsius
22:35:32.837 -> Humidity: 59.30 %, Temp: 18.20 Celsius
22:35:34.838 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:36.835 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:38.841 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:40.854 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:42.886 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:44.877 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:46.884 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:48.903 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:50.924 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:52.925 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:54.944 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:56.949 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:35:58.956 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:00.989 -> Humidity: 59.20 %, Temp: 18.10 Celsius
22:36:02.996 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:05.012 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:07.007 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:09.023 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:11.020 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:13.051 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:15.039 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:17.053 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:19.094 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:21.102 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:23.068 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:25.104 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:27.119 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:29.117 -> Humidity: 59.30 %, Temp: 18.10 Celsius
22:36:31.136 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:33.155 -> Humidity: 59.20 %, Temp: 18.10 Celsius
22:36:35.148 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:37.167 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:39.170 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:41.172 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:43.200 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:45.224 -> Humidity: 59.20 %, Temp: 18.00 Celsius
22:36:47.195 -> Humidity: 59.30 %, Temp: 18.00 Celsius
22:36:49.232 -> Humidity: 59.30 %, Temp: 18.00 Celsius
22:36:51.244 -> Humidity: 59.30 %, Temp: 18.00 Celsius
22:36:53.235 -> Humidity: 59.30 %, Temp: 18.00 Celsius
22:36:55.252 -> Humidity: 59.30 %, Temp: 18.00 Celsius
22:36:57.265 -> Humidity: 59.40 %, Temp: 18.00 Celsius
22:36:59.284 -> Humidity: 59.40 %, Temp: 18.00 Celsius
22:37:01.299 -> Humidity: 59.40 %, Temp: 18.00 Celsius
22:37:03.282 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:05.333 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:07.300 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:09.349 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:11.343 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:13.334 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:15.366 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:17.377 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:19.393 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:21.381 -> Humidity: 59.50 %, Temp: 18.00 Celsius
22:37:23.411 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:25.398 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:27.413 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:29.427 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:37:31.446 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:33.462 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:35.446 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:37:37.463 -> Humidity: 59.70 %, Temp: 18.00 Celsius
22:37:39.496 -> Humidity: 59.70 %, Temp: 18.00 Celsius
22:37:41.498 -> Humidity: 59.70 %, Temp: 18.00 Celsius
22:37:43.527 -> Humidity: 59.70 %, Temp: 18.00 Celsius
22:37:45.527 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:37:47.526 -> Humidity: 59.70 %, Temp: 17.90 Celsius
22:37:49.525 -> Humidity: 59.70 %, Temp: 18.00 Celsius
22:37:51.572 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:37:53.571 -> Humidity: 59.60 %, Temp: 18.00 Celsius
22:37:55.578 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:37:57.606 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:37:59.575 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:38:01.609 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:38:03.625 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:38:05.621 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:38:07.640 -> Humidity: 59.60 %, Temp: 17.90 Celsius
22:38:09.623 -> Humidity: 59.70 %, Temp: 17.90 Celsius
22:38:11.658 -> Humidity: 59.70 %, Temp: 17.90 Celsius
22:38:13.676 -> Humidity: 59.70 %, Temp: 17.90 Celsius
22:38:15.689 -> Humidity: 59.70 %, Temp: 17.90 Celsius
22:38:17.712 -> Humidity: 59.70 %, Temp: 17.90 Celsius
22:38:19.706 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:21.689 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:23.722 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:25.753 -> Humidity: 59.90 %, Temp: 18.00 Celsius
22:38:27.724 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:29.738 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:31.773 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:33.787 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:36.017 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:37.818 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:39.785 -> Humidity: 59.80 %, Temp: 17.90 Celsius
22:38:41.801 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:43.836 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:45.849 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:47.849 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:49.868 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:51.870 -> Humidity: 59.90 %, Temp: 17.90 Celsius
22:38:53.854 -> Humidity: 60.00 %, Temp: 17.90 Celsius
22:38:55.904 -> Humidity: 60.00 %, Temp: 17.90 Celsius
22:38:57.880 -> Humidity: 60.00 %, Temp: 17.90 Celsius
22:38:59.917 -> Humidity: 60.00 %, Temp: 17.90 Celsius
22:39:01.898 -> Humidity: 60.00 %, Temp: 17.90 Celsius
22:39:03.921 -> Humidity: 60.00 %, Temp: 17.90 Celsius
22:39:05.917 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:07.932 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:09.949 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:11.949 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:13.965 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:16.014 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:17.997 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:19.994 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:22.002 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:24.041 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:26.026 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:28.033 -> Humidity: 60.10 %, Temp: 17.90 Celsius
22:39:30.047 -> Humidity: 60.10 %, Temp: 17.90 Celsius
